stock,company_name,sector,sub_sector,enabled,halal
360ONE,360 ONE WAM LIMITED,Financial Services,Asset Management,N,N
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,N,N
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Services,Apparel Manufacturing,N,N
ADANIENT,Adani Enterprises Limited,Metals & Mining,Thermal Coal,N,N
AGROPHOS,Agro Phos India Limited,Basic Materials,Agricultural Inputs,N,N
AIIL,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,N,N
ALBERTDAVD,Albert David Limited,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
ALKEM,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,Textile Manufacturing,N,N
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
ANANTRAJ,Anant Raj Limited,Realty,Real Estate - Development,N,N
ANDHRAPAP,ANDHRA PAPER LIMITED,Basic Materials,Paper & Paper Products,N,N
ARVIND,Arvind Limited,Textiles,Textile Manufacturing,N,N
ASHIMASYN,Ashima Limited,Real Estate,Real Estate - Development,N,N
ASIANHOTNR,Asian Hotels (North) Limited,Consumer Cyclical,Lodging,N,N
AUTOAXLES,Automotive Axles Limited,Consumer Cyclical,Auto Parts,N,N
AVL,Aditya Vision Limited,Consumer Services,Specialty Retail,N,N
AXISCADES,AXISCADES Technologies Limited,Capital Goods,Engineering & Construction,N,N
AZAD,Azad Engineering Limited,Capital Goods,Specialty Industrial Machinery,N,N
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
BALKRISIND,Balkrishna Industries Limited,Automobile and Auto Components,Auto Parts,N,N
BANG,Bang Overseas Limited,Consumer Cyclical,Apparel Manufacturing,N,N
BANSWRAS,Banswara Syntex Limited,Consumer Cyclical,Textile Manufacturing,N,N
BBOX,Black Box Limited,Information Technology,Software - Application,N,N
BBTC,The Bombay Burmah Trading Corporation Limited,Fast Moving Consumer Goods,Packaged Foods,N,N
BDL,Bharat Dynamics Limited,Capital Goods,Aerospace & Defense,N,N
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Fast Moving Consumer Goods,Packaged Foods,N,N
BIKAJI,Bikaji Foods International Limited,Fast Moving Consumer Goods,Packaged Foods,N,N
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
BNALTD,B & A Limited,,,N,N
