stock,nse_index,sector_filter,shariah_score
20MICRONS,0,1,1
21STCENMGM,0,0,0
360ONE,0,0,0
3BBLACKBIO,0,1,1
3IINFOLTD,0,1,1
3MINDIA,1,1,2
3PLAND,0,1,1
5PAISA,0,0,0
63MOONS,0,1,1
A2ZINFRA,0,1,1
AAATECH,0,1,1
AADHARHFC,0,0,0
AAKASH,0,1,1
AAREYDRUGS,0,1,1
AARNAV,0,1,1
AARON,0,1,1
AARTECH,0,1,1
AARTIDRUGS,0,1,1
AARTIIND,0,1,1
AARTIPHARM,0,1,1
AARTISURF,0,1,1
AARVI,0,1,1
AAVAS,0,0,0
ABANSENT,0,1,1
ABB,0,1,1
ABBOTINDIA,0,1,1
ABCAPITAL,0,0,0
ABCOTS,0,1,1
ABDL,0,1,1
ABFRL,1,1,2
ABINFRA,0,1,1
ABLBL,1,1,2
ABMINTLLTD,0,1,1
ABMKNO,0,1,1
ABREL,0,1,1
ABSLAMC,0,0,0
ACC,0,1,1
ACCELYA,0,1,1
ACCURACY,0,1,1
ACE,1,1,2
ACEINTEG,0,1,1
ACI,0,1,1
ACL,0,1,1
ACMESOLAR,0,1,1
ACSTECH,0,1,1
ACUTAAS,1,1,2
ADANIENSOL,0,1,1
ADANIENT,0,1,1
ADANIGREEN,0,1,1
ADANIPORTS,0,1,1
ADANIPOWER,0,1,1
ADFFOODS,0,1,1
ADL,0,1,1
ADOR,0,1,1
ADROITINFO,0,1,1
ADSL,0,1,1
ADVAIT,0,1,1
ADVANCE,0,1,1
ADVANIHOTR,0,1,1
ADVENTHTL,0,1,1
ADVENZYMES,0,1,1
AEGISLOG,0,1,1
AEGISVOPAK,0,1,1
AEPL,0,1,1
AEQUS,0,0,0
AEROENTER,0,1,1
AEROFLEX,0,1,1
AERONEU,0,1,1
AETHER,0,1,1
AFCONS,1,1,2
AFFLE,0,1,1
AFFORDABLE,0,1,1
AFIL,0,0,0
AFSL,0,0,0
AGARIND,0,1,1
AGARWALEYE,0,1,1
AGI,0,1,1
AGIIL,0,1,1
AGRITECH,0,1,1
AGROPHOS,0,1,1
AHCL,0,1,1
AHLADA,0,1,1
AHLEAST,0,1,1
AHLUCONT,0,1,1
AHLWEST,0,1,1
AIAENG,0,1,1
AIIL,0,0,0
AIRAN,0,1,1
AIROLAM,0,1,1
AJANTPHARM,1,1,2
AJAXENGG,0,1,1
AJMERA,0,1,1
AJOONI,0,1,1
AKASH,0,1,1
AKCAPIT,0,1,1
AKG,0,1,1
AKI,0,1,1
AKSHAR,0,1,1
AKSHARCHEM,0,1,1
AKSHOPTFBR,0,1,1
AKUMS,0,1,1
ALANKIT,0,1,1
ALBERTDAVD,0,1,1
ALEMBICLTD,0,1,1
ALGOQUANT,0,0,0
ALICON,0,1,1
ALIVUS,0,1,1
ALKALI,0,1,1
ALKEM,1,1,2
ALKYLAMINE,0,1,1
ALLCARGO,0,1,1
ALLDIGI,0,1,1
ALLTIME,0,1,1
ALMONDZ,0,0,0
ALOKINDS,0,1,1
ALPA,0,1,1
ALPHAGEO,0,1,1
AMAGI,0,1,1
AMANTA,0,1,1
AMBALALSA,0,1,1
AMBER,1,1,2
AMBICAAGAR,0,1,1
AMBIKCO,0,1,1
AMBUJACEM,0,1,1
AMDIND,0,1,1
AMIRCHAND,0,1,1
AMJLAND,0,1,1
AMNPLST,0,1,1
AMRUTANJAN,0,1,1
ANANDRATHI,0,0,0
ANANTRAJ,1,1,2
ANDHRAPAP,0,1,1
