stock,company_name,sector,sub_sector,enabled,halal
20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,N,N
21STCENMGM,21st Century Management Services Limited,Financial Services,Capital Markets,N,N
360ONE,360 ONE WAM LIMITED,Financial Services,Asset Management,N,N
3BBLACKBIO,3B Blackbio Dx Limited,,,N,N
3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services,N,N
3MINDIA,3M India Limited,Diversified,Conglomerates,N,N
3PLAND,3P Land Holdings Limited,,,N,N
5PAISA,5Paisa Capital Limited,Financial Services,Capital Markets,N,N
63MOONS,63 moons technologies limited,Technology,Software - Application,N,N
A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,N,N
AAATECH,AAA Technologies Limited,Technology,Information Technology Services,N,N
AADHARHFC,Aadhar Housing Finance Limited,Financial Services,Mortgage Finance,N,N
AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,N,N
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
AARNAV,Aarnav Fashions Limited,,,N,N
AARON,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,N,N
AARTECH,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,N,N
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
AARTIIND,Aarti Industries Limited,Chemicals,Specialty Chemicals,N,N
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
AARTISURF,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,N,N
AARVI,Aarvi Encon Limited,Industrials,Staffing & Employment Services,N,N
AAVAS,Aavas Financiers Limited,Financial Services,Mortgage Finance,N,N
ABANSENT,Abans Enterprises Limited,,,N,N
ABB,ABB India Limited,Capital Goods,Specialty Industrial Machinery,N,N
ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,N,N
ABCOTS,A B Cotspin India Limited,Consumer Cyclical,Textile Manufacturing,N,N
ABDL,Allied Blenders and Distillers Limited,Fast Moving Consumer Goods,Beverages - Wineries & Distilleries,N,N
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Services,Apparel Manufacturing,N,N
ABINFRA,A B Infrabuild Limited,Industrials,Engineering & Construction,N,N
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Services,Apparel Retail,N,N
ABMINTLLTD,ABM International Limited,Basic Materials,Specialty Chemicals,N,N
ABMKNO,ABM Knowledgeware Limited,,,N,N
ABREL,Aditya Birla Real Estate Limited,Realty,Real Estate Services,N,N
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,N,N
ACC,ACC Limited,Construction Materials,Building Materials,N,N
ACCELYA,Accelya Solutions India Limited,Technology,Information Technology Services,N,N
ACCURACY,Accuracy Shipping Limited,Industrials,Integrated Freight & Logistics,N,N
ACE,Action Construction Equipment Limited,Capital Goods,Farm & Heavy Construction Machinery,N,N
ACEINTEG,Ace Integrated Solutions Limited,Industrials,Staffing & Employment Services,N,N
ACI,Archean Chemical Industries Limited,Chemicals,Chemicals,N,N
ACL,Andhra Cements Limited,Basic Materials,Building Materials,N,N
ACMESOLAR,Acme Solar Holdings Limited,Power,Utilities - Renewable,N,N
ACSTECH,ACS Technologies Limited,,,N,N
ACUTAAS,Acutaas Chemicals Limited,Healthcare,Specialty Chemicals,N,N
ADANIENSOL,Adani Energy Solutions Limited,Power,Utilities - Independent Power Producers,N,N
ADANIENT,Adani Enterprises Limited,Metals & Mining,Thermal Coal,N,N
ADANIGREEN,Adani Green Energy Limited,Power,Utilities - Renewable,N,N
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Services,Marine Shipping,N,N
ADANIPOWER,Adani Power Limited,Power,Utilities - Independent Power Producers,N,N
ADFFOODS,ADF Foods Limited,Consumer Defensive,Packaged Foods,N,N
ADL,Archidply Decor Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N,N
ADOR,Ador Welding Limited,Industrials,Specialty Industrial Machinery,N,N
ADROITINFO,Adroit Infotech Limited,Technology,Information Technology Services,N,N
ADSL,Allied Digital Services Limited,Technology,Information Technology Services,N,N
ADVAIT,Advait Energy Transitions Limited,Industrials,Specialty Industrial Machinery,N,N
ADVANCE,Advance Agrolife Limited,Basic Materials,Agricultural Inputs,N,N
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Lodging,N,N
ADVENTHTL,Advent Hotels International Limited,Consumer Cyclical,Lodging,N,N
ADVENZYMES,Advanced Enzyme Technologies Limited,Healthcare,Specialty Chemicals,N,N
AEGISLOG,Aegis Logistics Limited,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing,N,N
AEGISVOPAK,Aegis Vopak Terminals Limited,Oil Gas & Consumable Fuels,Oil & Gas Equipment & Services,N,N
AEPL,Artemis Electricals and Projects Limited,Industrials,Electrical Equipment & Parts,N,N
AEQUS,Aequs Limited,Capital Goods,Aerospace & Defense,N,N
AEROENTER,Aeroflex Enterprises Limited,Basic Materials,Steel,N,N
AEROFLEX,Aeroflex Industries Limited,Industrials,Metal Fabrication,N,N
AERONEU,Aeroflex Neu Limited,Consumer Cyclical,Packaging & Containers,N,N
AETHER,Aether Industries Limited,Chemicals,Specialty Chemicals,N,N
AFCONS,Afcons Infrastructure Limited,Construction,Engineering & Construction,N,N
AFFLE,Affle 3i Limited,Information Technology,Advertising Agencies,N,N
AFFORDABLE,Affordable Robotic & Automation Limited,Industrials,Specialty Industrial Machinery,N,N
AFIL,Akme Fintrade (India) Limited,Financial Services,Credit Services,N,N
AFSL,Abans Financial Services Limited,Financial Services,Capital Markets,N,N
AGARIND,Agarwal Industrial Corporation Limited,Basic Materials,Specialty Chemicals,N,N
AGARWALEYE,Dr. Agarwal's Health Care Limited,Healthcare,Medical Instruments & Supplies,N,N
AGI,AGI Greenpac Limited,Consumer Cyclical,Packaging & Containers,N,N
AGIIL,Agi Infra Limited,Real Estate,Real Estate - Development,N,N
AGRITECH,Agri-Tech (India) Limited,Consumer Defensive,Farm Products,N,N
AGROPHOS,Agro Phos India Limited,Basic Materials,Agricultural Inputs,N,N
AHCL,Anlon Healthcare Limited,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
AHLADA,Ahlada Engineers Limited,Industrials,Building Products & Equipment,N,N
AHLEAST,Asian Hotels (East) Limited,Consumer Cyclical,Lodging,N,N
AHLUCONT,Ahluwalia Contracts (India) Limited,Construction,Engineering & Construction,N,N
AHLWEST,Asian Hotels (West) Limited,Consumer Cyclical,Lodging,N,N
AIAENG,AIA Engineering Limited,Capital Goods,Specialty Industrial Machinery,N,N
AIIL,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,N,N
AIRAN,Airan Limited,Technology,Information Technology Services,N,N
AIROLAM,Airo Lam limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N,N
AJANTPHARM,Ajanta Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,N,N
